0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00
0.000000000000000000e+00 1.827384068906752034e-04 1.000000000000000000e+00
0.000000000000000000e+00 1.847916474175367223e-04 9.999919533729553223e-01
0.000000000000000000e+00 2.279096984816286178e-04 9.999918937683105469e-01
0.000000000000000000e+00 2.730809900725820593e-04 9.999867677688598633e-01
0.000000000000000000e+00 4.085948648454423024e-04 9.999831914901733398e-01
0.000000000000000000e+00 7.001550196597780855e-04 9.999822378158569336e-01
0.000000000000000000e+00 8.705739833892840946e-04 9.999821186065673828e-01
1.862318773104392323e-06 8.705739833892840946e-04 9.999800324440002441e-01
1.862318773104392323e-06 9.157452749802375089e-04 9.999788999557495117e-01
1.862318773104392323e-06 1.332553101933125995e-03 9.999779462814331055e-01
1.862318773104392323e-06 1.359245228782325794e-03 9.999768733978271484e-01
1.862318773104392323e-06 2.301682630611763102e-03 9.999768137931823730e-01
1.862318773104392323e-06 3.983286622111347625e-03 9.999758005142211914e-01
1.862318773104392323e-06 4.009978748960547207e-03 9.999756813049316406e-01
1.862318773104392323e-06 4.022298192121715778e-03 9.999746680259704590e-01
1.862318773104392323e-06 4.289219460613713335e-03 9.999746084213256836e-01
1.862318773104392323e-06 4.297432422721159627e-03 9.999736547470092773e-01
1.862318773104392323e-06 4.474011108031250572e-03 9.999735951423645020e-01
1.862318773104392323e-06 4.560247210159434038e-03 9.999731779098510742e-01
1.862318773104392323e-06 5.952344287371544133e-03 9.999730587005615234e-01
1.862318773104392323e-06 5.966716971059575145e-03 9.999722838401794434e-01
1.862318773104392323e-06 6.091964643198127631e-03 9.999722242355346680e-01
1.862318773104392323e-06 6.137135934789080503e-03 9.999721050262451172e-01
1.862318773104392323e-06 6.274703050088802428e-03 9.999577999114990234e-01
1.862318773104392323e-06 7.104212222940856254e-03 9.999575614929199219e-01
1.862318773104392323e-06 7.293110351412115770e-03 9.999524950981140137e-01
